country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,8.1,8.7,9.4,10,11,11,11,12,12,12,6.8,9,31,12,2.2,9.9,15,8.7,5.4,2.2,1.1
Afghanistan,190,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,193
Angola,297,308,320,334,350,368,377,379,382,385,384,383,380,376,370,366,362,359,355,351,350
Anguilla,23,22,22,22,22,22,22,22,22,21,21,21,21,21,23,21,22,22,22,22,22
Albania,22,20,22,20,20,19,18,17,16,17,17,17,16,19,16,17,17,20,18,16,15
Andorra,21,17,8.2,17,11,15,17,7,5.5,11,9.5,4.1,13,7.1,8.7,5.9,6,1.5,3,7.5,3
Netherlands Antilles,3.2,5.8,9.8,5.9,7.2,5.2,3.2,3.5,3.3,3,,,,,,,,,,,
UAE,4.2,2.6,3,3.6,2.6,2.6,2,1.8,1.5,1.7,1.8,1.3,0.99,1,0.75,0.76,0.79,0.8,0.98,0.94,0.79
Argentina,37,35,35,33,34,31,28,30,26,22,21,27,24,24,25,26,27,27,27,29,31
Armenia,54,57,59,64,69,92,75,72,71,68,61,55,53,60,57,50,44,36,31,26,23
American Samoa,6,5.9,3.9,5.8,9.6,12,7.8,5.9,6,8.1,8.2,6.2,6.9,6.7,6.4,8.2,5.7,10,0,2.1,0.22
Antigua and Barbuda,6.1,1.5,5.9,1.4,5.4,8.5,5.6,2.7,1.3,4,9.1,7.7,3.8,13,3.7,4.2,3.7,1.2,6,0,2.3
Australia,6.3,5.9,6,5.6,6.2,6,6.5,6.2,6.5,6.8,6.5,6.3,6.6,6.2,6.5,6,6.5,6.7,6.6,6.9,7.3
Austria,17,14,15,13,13,13,12,11,10,9.1,9.1,9.2,8.4,8.4,7.5,7.5,8.1,7.3,6.1,6,4.9
Azerbaijan,80,75,78,57,80,88,83,79,108,133,104,125,86,78,76,71,66,66,63,60,58
Burundi,290,270,250,230,211,195,181,169,160,152,144,138,133,128,126,122,118,114,111,107,103
Belgium,14,15,13,12,12,12,11,10,10,9.7,11,10,9.4,9.3,9.1,9.5,10,9.2,9.1,8.9,7.7
Benin,86,83,80,78,75,73,71,69,69,69,68,67,66,64,61,60,59,58,56,55,55
Burkina Faso,70,69,67,66,65,64,63,62,61,60,58,57,55,54,54,52,51,49,48,47,46
Bangladesh,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,218
Bulgaria,52,61,53,52,49,52,51,47,49,44,41,37,35,33,31,28,27,25,23,21,19
Bahrain,36,31,30,39,34,36,33,33,31,32,23,20,20,18,16,15,12,12,11,12,13
Bahamas,32,24,16,14,19,17,21,16,16,15,10,13,10,10,16,19,27,15,14,15,9.1
Bosnia and Herzegovina,83,82,56,59,78,70,59,79,57,58,45,46,49,44,43,40,33,29,25,27,26
Belarus,86,70,66,77,71,69,68,71,68,70,68,62,63,59,51,50,42,37,31,29,26
Belize,49,61,59,42,35,41,34,24,33,32,52,26,29,40,23,25,37,36,30,27,23
Bermuda,0,0,0,5,10,7.5,5.2,4.5,3.6,2.8,1.8,1.8,5.3,0,0,0,3.6,3.6,3.7,3.7,5.5
Bolivia,184,179,173,168,163,158,153,148,144,139,135,131,127,123,120,117,114,111,108,106,105
Brazil,51,48,52,53,54,50,46,46,46,45,44,44,44,44,43,43,43,44,46,46,45
Barbados,1.3,2.5,2.1,3.7,7.9,4.1,2.1,6.6,1.2,0.82,2.4,0,1.6,1.6,2,0,1.2,0,0.4,0,2.4
Brunei,106,73,76,68,59,51,63,64,68,64,70,67,70,60,56,59,66,64,68,64,83
Bhutan,241,215,221,204,193,194,174,188,179,207,239,223,201,190,185,165,193,145,149,165,165
Botswana,914,888,855,816,773,728,684,641,598,557,518,480,445,414,385,356,326,300,275,253,236
Central African Republic,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Canada,6.5,6.6,6.1,5.9,5.6,5.5,5.4,5.3,5.4,5.3,4.6,4.8,5.4,5.3,5.1,5.2,5.5,5.6,5.6,5.9,5.9
Switzerland,9.3,8.8,9.5,9.1,8.7,8,7.3,6.4,7,7.5,7.5,7.6,6,6.6,5.9,7.4,7.9,7.2,6.4,5.4,4.7
